uid,mtime,uname,vipType,level,sex,sign
50473012,1665838049,zp谁谁谁,1,3,保密,
1972338842,1665837058,bili_57486895722,1,0,保密,
3461574977129158,1665836684,随风2代,0,2,保密,
24385002,1665835335,星尘1980,2,3,保密,
1499977032,1665833945,bili_22882565171,0,2,保密,
393018678,1665831947,3485895,2,5,保密,
3461569371441662,1665831814,菜鸟测评游戏,0,2,保密,
1674274227,1665829271,0502牛牛2014,0,2,保密,
649063129,1665828932,张凤仙QQ,2,3,保密,迷你世界和我的世界都是腊鸡
1823685841,1665826503,bili_16175912009,0,0,保密,
1778540874,1665826060,bili_36873227821,0,0,保密,
