uid,mtime,uname,vipType,level,sex,sign
1367391879,1662691170,世界回音sans,0,4,男,
399774647,1662663158,莓为什么老爱踢被子,1,5,男,up已死，有什么事QQ找我2574128511
171061957,1662654721,怣梦将逝,1,5,男,求你了！！！！！
284916561,1662579397,bili_284916561,2,4,保密,
2068247121,1662475605,阎王阐释又,1,4,保密,
749467,1662370658,318man,1,6,保密,
430140862,1662263481,冠军中锋大吉鲁,2,4,保密,
1991252165,1662255694,hankMmoder,0,4,保密,一个，一个一个一个红警老玩家啊（虐电离谱）
1958402473,1662220439,念-刺,0,2,保密,
473164977,1662214014,Chimice,0,4,保密,
470998488,1662164169,修改昵称要耗六枚硬币,1,5,保密,
485963384,1662121283,風を吟じて月を作る,1,4,保密,
532687069,1662031329,零点01百分百,1,3,保密,凉风吹啊吹
